;duration;entry_mode;has_path;source;start_time;total_calories;total_distance;tracking_mode;type;uri;utc_offset
44;22,3;API;VERDADEIRO;RunKeeper;sex, 20 jul 2018 8:04:29;201;7544,08;outdoor;Cycling;/fitnessActivities/1201950695;-3
45;32,9;API;VERDADEIRO;RunKeeper;qui, 19 jul 2018 16:11:12;212;7092,04;outdoor;Cycling;/fitnessActivities/1199405137;-3
46;23,38;API;VERDADEIRO;RunKeeper;qui, 19 jul 2018 8:41:37;195;7931,52;outdoor;Cycling;/fitnessActivities/1199405132;-3
47;33,33;API;VERDADEIRO;RunKeeper;qua, 18 jul 2018 17:42:56;237;8002,39;outdoor;Cycling;/fitnessActivities/1198893055;-3
48;24,43;API;VERDADEIRO;RunKeeper;qua, 18 jul 2018 8:01:29;204;7919,62;outdoor;Cycling;/fitnessActivities/1198881215;-3
49;28,62;API;VERDADEIRO;RunKeeper;ter, 17 jul 2018 16:10:50;205;7091,74;outdoor;Cycling;/fitnessActivities/1198881210;-3
50;22,52;API;VERDADEIRO;RunKeeper;ter, 17 jul 2018 7:49:40;202;7927,89;outdoor;Cycling;/fitnessActivities/1198277210;-3
51;32,95;API;VERDADEIRO;RunKeeper;sex, 13 jul 2018 14:38:37;231;8059,38;outdoor;Cycling;/fitnessActivities/1196172652;-3
52;24,68;API;VERDADEIRO;RunKeeper;sex, 13 jul 2018 7:56:33;205;7944,68;outdoor;Cycling;/fitnessActivities/1196133453;-3
53;35,57;API;VERDADEIRO;RunKeeper;qui, 12 jul 2018 17:41:19;246;7965,63;outdoor;Cycling;/fitnessActivities/1195718471;-3
54;25,62;API;VERDADEIRO;RunKeeper;qui, 12 jul 2018 7:45:18;201;7928,63;outdoor;Cycling;/fitnessActivities/1195706781;-3
55;48,02;API;VERDADEIRO;RunKeeper;qui, 5 jul 2018 12:06:01;341;10657,59;outdoor;Cycling;/fitnessActivities/1191889236;-3
56;22,52;API;VERDADEIRO;RunKeeper;qui, 5 jul 2018 7:20:09;206;7937,28;outdoor;Cycling;/fitnessActivities/1191889234;-3
57;22,32;API;VERDADEIRO;RunKeeper;qua, 4 jul 2018 7:01:09;196;7595,26;outdoor;Cycling;/fitnessActivities/1191889228;-3
58;41,02;API;VERDADEIRO;RunKeeper;ter, 3 jul 2018 13:29:31;312;11155,38;outdoor;Cycling;/fitnessActivities/1191889225;-3
59;22;API;VERDADEIRO;RunKeeper;ter, 3 jul 2018 6:31:43;198;7546,41;outdoor;Cycling;/fitnessActivities/1191889222;-3
60;31,93;API;VERDADEIRO;RunKeeper;qui, 28 jun 2018 13:46:57;232;7922,09;outdoor;Cycling;/fitnessActivities/1188342246;-3
61;23,4;API;VERDADEIRO;RunKeeper;qui, 28 jun 2018 7:06:57;208;7956,93;outdoor;Cycling;/fitnessActivities/1188342235;-3
62;33,63;API;VERDADEIRO;RunKeeper;qua, 27 jun 2018 17:15:42;232;8097,79;outdoor;Cycling;/fitnessActivities/1187937389;-3
63;25,02;API;VERDADEIRO;RunKeeper;qua, 27 jun 2018 7:55:21;203;7947,97;outdoor;Cycling;/fitnessActivities/1187937370;-3
64;30,05;API;VERDADEIRO;RunKeeper;qui, 21 jun 2018 16:54:01;215;7093,9;outdoor;Cycling;/fitnessActivities/1184768910;-3
65;22,57;API;VERDADEIRO;RunKeeper;qui, 21 jun 2018 7:14:11;208;7577,02;outdoor;Cycling;/fitnessActivities/1184720565;-3
66;31,23;API;VERDADEIRO;RunKeeper;qua, 20 jun 2018 16:33:00;228;7924,11;outdoor;Cycling;/fitnessActivities/1184236496;-3
67;23,55;API;VERDADEIRO;RunKeeper;qua, 20 jun 2018 7:08:26;213;7957,52;outdoor;Cycling;/fitnessActivities/1184224020;-3
68;30,58;API;VERDADEIRO;RunKeeper;ter, 19 jun 2018 17:23:10;233;7975,59;outdoor;Cycling;/fitnessActivities/1183726261;-3
69;25,02;API;VERDADEIRO;RunKeeper;ter, 19 jun 2018 6:55:32;199;7927,79;outdoor;Cycling;/fitnessActivities/1183726259;-3
70;30,42;API;VERDADEIRO;RunKeeper;sex, 15 jun 2018 14:03:01;226;7927,4;outdoor;Cycling;/fitnessActivities/1183726253;-3
71;21,9;API;VERDADEIRO;RunKeeper;sex, 15 jun 2018 7:25:43;201;7946,09;outdoor;Cycling;/fitnessActivities/1181404469;-3
72;34,62;API;VERDADEIRO;RunKeeper;qui, 14 jun 2018 14:13:34;261;9425,59;outdoor;Cycling;/fitnessActivities/1181082485;-3
73;23,65;API;VERDADEIRO;RunKeeper;qui, 14 junho 2018 6:52:52;206;7543,29;outdoor;Cycling;/fitnessActivities/1181064641;-3
74;41,02;API;VERDADEIRO;RunKeeper;qua, 13 junho 2018 13:53:26;272;8046,88;outdoor;Cycling;/fitnessActivities/1180563508;-3
75;23,58;API;VERDADEIRO;RunKeeper;qua, 13 junho 2018 7:15:21;201;7966,16;outdoor;Cycling;/fitnessActivities/1180537354;-3
76;54,22;API;VERDADEIRO;RunKeeper;ter, 12 junho 2018 15:27:27;345;8378,88;outdoor;Cycling;/fitnessActivities/1180068455;-3
77;24,73;API;VERDADEIRO;RunKeeper;ter, 12 junho 2018 6:53:48;201;7920,02;outdoor;Cycling;/fitnessActivities/1180036004;-3
78;32,67;API;VERDADEIRO;RunKeeper;qui, 7 junho 2018 16:19:50;239;7912,43;outdoor;Cycling;/fitnessActivities/1177415544;-3
79;26,15;API;VERDADEIRO;RunKeeper;qui, 7 junho 2018 7:59:02;199;7934,06;outdoor;Cycling;/fitnessActivities/1177162334;-3
80;36,05;API;VERDADEIRO;RunKeeper;ter, 5 junho 2018 16:00:53;265;7973,55;outdoor;Cycling;/fitnessActivities/1177149557;-3
81;23,12;API;VERDADEIRO;RunKeeper;ter, 5 junho 2018 7:46:32;195;7950,38;outdoor;Cycling;/fitnessActivities/1176022619;-3
82;29,62;API;VERDADEIRO;RunKeeper;qua, 30 maio 2018 14:28:34;216;7386,05;outdoor;Cycling;/fitnessActivities/1173063200;-3
83;21,77;API;VERDADEIRO;RunKeeper;qua, 30 maio 2018 7:22:15;199;7940,26;outdoor;Cycling;/fitnessActivities/1172756109;-3
84;28,77;API;VERDADEIRO;RunKeeper;ter, 29 maio 2018 17:31:12;221;7942,89;outdoor;Cycling;/fitnessActivities/1172500436;-3
85;21,37;API;VERDADEIRO;RunKeeper;ter, 29 maio 2018 6:50:25;202;7954,11;outdoor;Cycling;/fitnessActivities/1172490494;-3
86;28,12;API;VERDADEIRO;RunKeeper;sex, 25 maio 2018 14:36:03;207;7166,35;outdoor;Cycling;/fitnessActivities/1170261042;-3
87;22,95;API;VERDADEIRO;RunKeeper;sex, 25 maio 2018 8:12:56;198;7540,59;outdoor;Cycling;/fitnessActivities/1170233680;-3
88;25,25;API;VERDADEIRO;RunKeeper;qui, 24 maio 2018 18:55:53;199;7391,37;outdoor;Cycling;/fitnessActivities/1169843019;-3
89;22,23;API;VERDADEIRO;RunKeeper;qui, 24 maio 2018 7:24:30;196;7520,39;outdoor;Cycling;/fitnessActivities/1169834377;-3
90;27,97;API;VERDADEIRO;RunKeeper;qua, 23 maio 2018 14:11:08;210;7443,03;outdoor;Cycling;/fitnessActivities/1169144944;-3
91;21,93;API;VERDADEIRO;RunKeeper;qua, 23 maio 2018 7:38:26;195;7507,11;outdoor;Cycling;/fitnessActivities/1169123144;-3
92;28,17;API;VERDADEIRO;RunKeeper;ter, 22 maio 2018 14:18:17;215;7354,2;outdoor;Cycling;/fitnessActivities/1169123125;-3
93;22,13;API;VERDADEIRO;RunKeeper;ter, 22 maio 2018 7:53:29;194;7531,96;outdoor;Cycling;/fitnessActivities/1168369561;-3
94;80,02;API;VERDADEIRO;RunKeeper;sex, 18 maio 2018 15:31:10;621;20399,56;outdoor;Cycling;/fitnessActivities/1166352274;-3
95;29,38;API;VERDADEIRO;RunKeeper;sex, 18 maio 2018 8:00:20;216;8155,09;outdoor;Cycling;/fitnessActivities/1166327212;-3
96;31,7;API;VERDADEIRO;RunKeeper;qui, 17 maio 2018 17:20:26;235;7972,25;outdoor;Cycling;/fitnessActivities/1165898370;-3
97;26,92;API;VERDADEIRO;RunKeeper;qui, 17 maio 2018 7:56:37;223;7939,14;outdoor;Cycling;/fitnessActivities/1165888156;-3
98;65,53;API;VERDADEIRO;RunKeeper;qua, 16 maio 2018 15:27:54;510;20067,36;outdoor;Cycling;/fitnessActivities/1165342915;-3
99;24,02;API;VERDADEIRO;RunKeeper;qua, 16 maio 2018 7:50:00;210;8024,31;outdoor;Cycling;/fitnessActivities/1165305685;-3
100;27,45;API;VERDADEIRO;RunKeeper;ter, 15 maio 2018 16:30:22;207;7037,85;outdoor;Cycling;/fitnessActivities/1165305677;-3
101;23,78;API;VERDADEIRO;RunKeeper;ter, 15 mai 2018 7:27:21;201;7944,5;outdoor;Cycling;/fitnessActivities/1164464928;-3
102;62,52;API;VERDADEIRO;RunKeeper;qui, 10 mai 2018 14:13:22;387;8518,29;outdoor;Cycling;/fitnessActivities/1161944827;-3
103;28,13;API;VERDADEIRO;RunKeeper;qui, 10 mai 2018 7:47:59;224;8188,75;outdoor;Cycling;/fitnessActivities/1161910765;-3
104;110;API;VERDADEIRO;RunKeeper;qua, 9 mai 2018 13:08:03;659;12774,74;outdoor;Cycling;/fitnessActivities/1161337389;-3
105;23,65;API;VERDADEIRO;RunKeeper;qua, 9 mai 2018 7:14:20;203;7956,72;outdoor;Cycling;/fitnessActivities/1161275661;-3
106;35,55;API;VERDADEIRO;RunKeeper;qui, 3 mai 2018 17:35:15;250;8181,55;outdoor;Cycling;/fitnessActivities/1157952472;-3
107;25,28;API;VERDADEIRO;RunKeeper;qui, 3 mai 2018 7:00:40;210;7632,42;outdoor;Cycling;/fitnessActivities/1157940534;-3
108;27,95;API;VERDADEIRO;RunKeeper;qua, 2 mai 2018 14:36:21;203;7045,59;outdoor;Cycling;/fitnessActivities/1157339192;-3
109;25,1;API;VERDADEIRO;RunKeeper;qua, 2 mai 2018 6:58:05;215;7985,31;outdoor;Cycling;/fitnessActivities/1157339184;-3
110;32,9;API;VERDADEIRO;RunKeeper;seg, 30 abr 2018 13:22:02;226;5302,58;outdoor;Cycling;/fitnessActivities/1157339174;-3
111;33,55;API;VERDADEIRO;RunKeeper;sex, 27 abr 2018 15:17:16;254;9442,59;outdoor;Cycling;/fitnessActivities/1154568046;-3
112;24,03;API;VERDADEIRO;RunKeeper;sex, 27 abr 2018 7:54:46;197;7935,38;outdoor;Cycling;/fitnessActivities/1154568043;-3
113;26,37;API;VERDADEIRO;RunKeeper;qua, 25 abr 2018 7:51:46;212;7945,72;outdoor;Cycling;/fitnessActivities/1154568038;-3
114;22;API;VERDADEIRO;RunKeeper;ter, 24 abr 2018 8:00:59;201;7562,14;outdoor;Cycling;/fitnessActivities/1154567966;-3
